,CL=F,BZ=F,NG=F,RB=F,HO=F,QA=F,QU=F,QG=F,QH=F,GC=F,SI=F,HG=F,PL=F,PA=F,ALI=F,ZS=F,ZM=F,ZL=F,ZW=F,ZC=F,ZO=F,ZR=F,KE=F,CC=F,CJ=F,SB=F,YO=F,KC=F,OJ=F,LE=F,GF=F,HE=F,DC=F,HY=F
SBSW,0.21047897072915922,0.20408739472007215,0.04680964060824168,0.18985617007045508,0.1719635940935408,-0.3634555515935002,0.1795555137719539,0.03851031217745221,0.3351254174061161,0.4662760594944681,0.5167444165262983,0.40237103574271676,0.49268859020165573,0.49298566535483684,0.27633156038774137,0.13625944507750762,0.05137558557401163,0.16077179647005296,0.09899925009210774,0.11427973570065529,0.07783333725823441,0.04939510104366515,0.10585244763181967,0.062326708008153514,0.06994190952999445,0.11041989952723166,0.10995336869309125,0.11961254746878462,0.0884485243164867,0.07713213269423526,0.048986775215069875,0.049638814848401,-0.011097808553260103,0.12689645076012995
TECK,0.3221770611464842,0.32696732501033804,0.06952824597015342,0.2953489500326141,0.2633665823858006,-0.3745127018030401,0.28279331341723835,0.06905683961624712,0.25529435849575166,0.23109830448767318,0.33954083848070893,0.5620199445155606,0.39119821712798797,0.3174895952725632,0.35180503115840933,0.17325764643692348,0.042266205543934156,0.20084842085807142,0.10927810221374955,0.12524901659931592,0.0511192368863502,0.04151365048428737,0.12531585534905537,0.14220035745454046,0.14704037498722072,0.15850124163105953,0.15896735581714794,0.12167788255120418,0.054390382411529964,0.10806441492321742,0.09759207908416137,0.06095374931398163,-0.0007430516539259255,0.2759018434205615
CLF,0.20115540829286008,0.20560504030590737,0.08562028358241398,0.16061830319678094,0.16502592760979368,-0.3369182636908731,0.1694769181225451,0.09741849418391804,0.1987593803030195,0.12438269964915981,0.22340369812948346,0.32772273328514684,0.24184229786246242,0.2163101442348907,0.23098264175145158,0.1108841138785821,0.06625215842439532,0.1374011122458066,0.07864719511268901,0.06928375386310322,0.07763545902727055,0.05712195966638463,0.09015960542406068,0.07465706777402174,0.0799682358611166,0.07504746193901299,0.07520610129315601,0.05513429074187096,0.047312971670376056,0.1000492761196086,0.08612565525995418,0.06071980378131611,-0.005982397815118577,0.24548862656475412
X,0.17876800189211126,0.18918882667680603,0.10353952234176013,0.16325906251146757,0.17311427094263063,-0.2482350418804675,0.15851299170245212,0.1254851790246943,0.14691707513729937,0.06064316029813395,0.13661641936001465,0.23224609467970483,0.16422453082398725,0.16106160119049193,0.1627924018260517,0.11891095639355027,0.06674399428943802,0.1551812705631293,0.07662232154634374,0.0633260307153549,0.06555525508609981,0.0424351507763339,0.06655962831192577,0.08011201331306297,0.10351306087283696,0.04698842659751247,0.04695741017015068,0.043902783823039096,0.03818297346095997,0.07363178496991737,0.06450742988739466,0.07792470078977018,0.006503898224391067,0.24158718317295932
NUE,0.18576167564846927,0.19485882942173888,0.06420329548508316,0.17987748333689021,0.17314622329881896,-0.3066589818162051,0.17839203063128167,0.07809976224238864,0.16858322642942727,0.06678568050876671,0.15681264075416335,0.2917670714002516,0.19367321269925625,0.19538533656996468,0.18150711700218844,0.12965612141715308,0.07579219963755553,0.1486513688299912,0.03965522268920777,0.04627011359061949,0.06160715494554403,0.03630980473548436,0.03904674633305953,0.08149810651372534,0.08624361490747935,0.07472581108137434,0.07434601466306766,0.050367604940191664,0.04192296332845801,0.09004168839794477,0.09876852661530572,0.05768394464196493,-0.00910594842802722,0.24315030964910897
ADM,0.23004251899260525,0.24314950170901314,0.11715744627128298,0.23520100682926595,0.22179019782584136,-0.22754432877083666,0.2311886384577075,0.10538326853447451,0.09200829522197451,0.04714387636293343,0.12078478331967094,0.2028641572649628,0.18788310315358195,0.19361371963844975,0.15165326502251855,0.14776110757548802,0.05163894796004911,0.1907201136060899,0.09933607063106271,0.09740440971068876,0.04809195228135126,0.07413419359162622,0.10509256842149498,0.08750955293222204,0.07327616933288522,0.09966333932256012,0.099139789368919,0.019972593095603834,0.052826541513244576,0.06516529770216685,0.0766234193118897,0.054952581607486964,0.0015011156223502633,0.2250124670472566
BG,0.21476700552486358,0.22036286467527313,0.1408131870397668,0.20662330407946336,0.19052266092132264,-0.23879948819364422,0.21182442339534516,0.14930841918518156,0.09195788845981875,0.05683145436328363,0.13165179283675407,0.18676708868768563,0.18517270462438695,0.1707584223298629,0.1317673475028991,0.1578480145057575,0.07072804643913803,0.1978198611534033,0.12839748864189837,0.1189607118880626,0.05807355515348044,0.07621019511819196,0.1156067655542577,0.07258437594184183,0.06808821270654908,0.13918745398603505,0.1382423168208429,0.027877711732630334,0.04813859022857911,0.035269472442606954,0.07535821040933,0.040850014688895264,0.015711699687477012,0.20024588876250865
DE,0.1783499671528566,0.1897256391144255,0.10047312183532345,0.17170493151603744,0.15664026813604442,-0.28130348650982007,0.1813170396985266,0.07857706621441664,0.1744261110345342,0.09027077543034821,0.15482127390609934,0.2656537277539553,0.22506191162260034,0.22032230669669617,0.17772038445234145,0.12517495192728298,0.042315323609694325,0.12776548103919944,0.10567023574931972,0.11239193711898872,0.10133023827067948,0.06636458559466621,0.11283348864138538,0.09358381531373693,0.09508906091034071,0.08436573243772698,0.08343782788377621,0.048742542959178015,0.030881343857257534,0.08550257410623587,0.06565196590837452,-0.007174432477486666,-0.027345655847318115,0.2293887229658948
NTR,0.2913629613053112,0.2921728474800889,0.12259124812109455,0.2708838126752262,0.26016167376231175,-0.33504247311655877,0.27108996064480667,0.1162412655479244,0.18363490287334086,0.13211104594272027,0.21590240055542312,0.3367882288615084,0.2890037364732401,0.2300737480022952,0.2023070164418289,0.1787376871188686,0.0714648139337035,0.16515657778614823,0.11829621412853149,0.12894830900800203,0.07288622954488269,0.10567721323649353,0.12825147982111446,0.12261139992951263,0.1043374921945518,0.14062398564238643,0.13888424261908983,0.11152193376077679,0.059064946096227804,0.09881448043520441,0.05788192831423219,0.07433875169399748,-0.011585506320509406,0.24844748744080483
TSN,0.07154210850593626,0.07754779434790865,-0.003957285542458734,0.08786878493831425,0.0856220180545398,-0.15735002409632498,0.08977315805918971,-0.007381928846907707,0.07819083833472026,0.00994544516223788,0.04433321949448499,0.06367339307464448,0.09566439138321636,0.03823954096483696,0.0523599886943261,0.054946349516150426,0.006734388481048545,0.07254585167866924,0.013454745935246905,-0.02714272353776025,-0.003467373087431173,0.028133199740600988,0.00851790112022776,0.02113979269488653,0.029525516834414775,0.00113652408167744,0.0006150619097154118,0.03791794864316228,0.023465835601071915,0.02378541921175826,0.07296249230315549,0.0198454437744581,0.02208249451740508,0.09593709183663734
SJM,-0.010387616229841039,-0.019989645214147023,0.0057267416327956315,-0.002194237206328476,0.001593034512125775,-0.03452849205902873,-0.008780996860723363,-0.010634546204000214,0.009444270013961873,0.03367154180181585,-0.006560470429143391,-0.038552314640983694,0.014920971517154503,-0.03298402039640923,0.00021679312919944087,-0.004387565530814812,4.6137490562794856e-05,0.020282003247178836,0.04077163235327495,0.004740404035325521,0.015566856917797443,0.0008492217774621004,0.028949900259377062,-0.007554522419138531,-0.01837756111524595,-0.0062029455318574666,-0.007035508609742837,0.011968144887928123,-0.009822418162414328,-0.015173619488199038,0.01614544489537822,-0.04286246982129806,0.04396971684213613,-0.0018819354228143588
