Stock,Commodity,Cluster,Correlation,P_Value,Significant,Abs_Corr
NUE,OJ=F,0,0.05828011040646003,0.03410554188294461,True,0.05828011040646003
IBM,KC=F,0,0.0582685806484354,0.03414105627422882,True,0.0582685806484354
CAT,ZW=F,0,0.05824351351974903,0.0342183779334014,True,0.05824351351974903
INTC,ZS=F,0,0.05822328989914502,0.03428086829182074,True,0.05822328989914502
FAST,CC=F,0,0.05818342058401321,0.03440434858724439,True,0.05818342058401321
JNJ,GC=F,0,0.05815267354177429,0.034499835120617495,True,0.05815267354177429
DUK,CL=F,0,0.05810553745185805,0.03464665774403527,True,0.05810553745185805
NOW,ALI=F,0,0.058047429543878655,0.03482838948806265,True,0.058047429543878655
DPZ,HO=F,0,0.05804115503716989,0.0348480614792136,True,0.05804115503716989
BMY,LE=F,0,0.05803549171833989,0.03486582539552068,True,0.05803549171833989
MCD,CC=F,0,0.058026105040320276,0.03489528523998655,True,0.058026105040320276
LNG,KE=F,0,0.05794299676728147,0.03515704574206469,True,0.05794299676728147
AEM,ZO=F,0,0.05783085290281535,0.03551290990717671,True,0.05783085290281535
ULTA,ZS=F,0,0.05773811814670449,0.03580949792178346,True,0.05773811814670449
GILD,KC=F,0,-0.05770848185413826,0.03590472572524396,True,0.05770848185413826
YUM,ZL=F,0,0.057706226293612606,0.03591198215277483,True,0.057706226293612606
GOOGL,KC=F,0,0.057688116223169855,0.03597028986373777,True,0.057688116223169855
VZ,KC=F,0,0.05761949094770593,0.03619197001234142,True,0.05761949094770593
BG,CJ=F,0,0.057588842035335,0.036291350309613134,True,0.057588842035335
TSN,ALI=F,0,0.05754333995580639,0.036439321023973445,True,0.05754333995580639
GOLD,ZC=F,0,0.05750874511863771,0.03655216523894014,True,0.05750874511863771
ADM,OJ=F,0,0.05746145225433291,0.036706909979645264,True,0.05746145225433291
GE,ZC=F,0,0.05736063845465114,0.037038639467627206,True,0.05736063845465114
MCD,ZS=F,0,0.057346914970461335,0.03708399339745142,True,0.057346914970461335
ADM,CC=F,0,0.05732533269583638,0.03715541492399316,True,0.05732533269583638
NEM,YO=F,0,0.05731065566868583,0.037204051933018276,True,0.05731065566868583
TSN,SB=F,0,0.057302403270608926,0.037231422655747186,True,0.057302403270608926
INGR,HE=F,0,0.05727148397501866,0.03733412496861433,True,0.05727148397501866
HAL,ZM=F,0,0.05717482693659325,0.037656738200622895,True,0.05717482693659325
MSFT,KC=F,0,0.05714244985584403,0.037765331914596516,True,0.05714244985584403
AEM,ZC=F,0,0.05713978299196376,0.037774288507444874,True,0.05713978299196376
WMT,HO=F,0,0.05711306563063744,0.03786411773354442,True,0.05711306563063744
NEM,SB=F,0,0.05708551662386003,0.03795693311810157,True,0.05708551662386003
EOG,ZM=F,0,0.0570837733150808,0.03796281299824621,True,0.0570837733150808
GOLD,ZO=F,0,0.057060148942750744,0.038042570259963465,True,0.057060148942750744
V,KC=F,0,0.056990163506362254,0.038279681072748414,True,0.056990163506362254
RSG,CC=F,0,0.05693454744126043,0.038469002269169945,True,0.05693454744126043
TSN,YO=F,0,0.056911125375866026,0.03854897027079236,True,0.056911125375866026
VRTX,KC=F,0,0.05690765291823883,0.03856083799611972,True,0.05690765291823883
HD,ALI=F,0,0.056900712049085395,0.03858456891427202,True,0.056900712049085395
PAAS,CC=F,0,0.05687200402723061,0.038682853720204795,True,0.05687200402723061
NEE,BZ=F,0,0.056858782758186635,0.038728189484667705,True,0.056858782758186635
GIS,LE=F,0,-0.056822381318424736,0.038853243170682145,True,0.056822381318424736
HAL,ZO=F,0,0.056811033759460935,0.03889229662140234,True,0.056811033759460935
CAT,HE=F,0,0.0567411088456609,0.039133684048775264,True,0.0567411088456609
SWK,KC=F,0,0.056687316400829225,0.03932024448620528,True,0.056687316400829225
ULTA,KC=F,0,0.05665163952007806,0.03944439295231553,True,0.05665163952007806
XOM,OJ=F,0,0.056584181864645575,0.039680040713081725,True,0.056584181864645575
AEM,GF=F,0,0.056562772647422106,0.039755077911388145,True,0.056562772647422106
NKE,ZL=F,0,0.0565442224891542,0.039820191613698944,True,0.0565442224891542
PBR,CC=F,0,0.05653823573649553,0.039841225253774204,True,0.05653823573649553
RSG,CJ=F,0,0.05652774062946193,0.03987812110607199,True,0.05652774062946193
COST,ZM=F,0,-0.05642994329859603,0.04022332470748117,True,0.05642994329859603
INGR,CJ=F,0,0.0563455500188705,0.04052324647821486,True,0.0563455500188705
CRM,YO=F,0,0.056297162113664895,0.04069606289221098,True,0.056297162113664895
SO,SB=F,0,0.05617358583773723,0.041140246838498325,True,0.05617358583773723
NTR,OJ=F,0,0.05615759804887828,0.041198012128874,True,0.05615759804887828
CRM,SB=F,0,0.0561281759780618,0.04130449602800865,True,0.0561281759780618
SCHW,CC=F,0,0.056096656061151245,0.04141883066896868,True,0.056096656061151245
AEP,HG=F,0,0.056040777732083644,0.04162218048433547,True,0.056040777732083644
KMI,ZO=F,0,0.05593835314255671,0.041997111720270375,True,0.05593835314255671
TXN,HE=F,0,0.05591317341426675,0.04208971954941464,True,0.05591317341426675
GILD,PL=F,0,0.05575716314799159,0.042667361141853245,True,0.05575716314799159
SHOP,BZ=F,0,0.05573583902465584,0.04274683331401094,True,0.05573583902465584
GD,HE=F,0,0.05572411815263442,0.042790568661773554,True,0.05572411815263442
MMM,ZS=F,0,0.05570451419616517,0.04286380346556192,True,0.05570451419616517
MP,KE=F,0,0.05566833311785077,0.0429992436165728,True,0.05566833311785077
D,HO=F,0,0.05555210388771888,0.04343678294395428,True,0.05555210388771888
LNG,HE=F,0,0.05546848998524596,0.04375386185610919,True,0.05546848998524596
CSCO,ZS=F,0,0.05543670685539455,0.04387490023894479,True,0.05543670685539455
SO,YO=F,0,0.05540366979847687,0.04400101310875911,True,0.05540366979847687
REGN,RB=F,0,0.055320966506058326,0.04431805872398503,True,0.055320966506058326
JNJ,HE=F,0,-0.055261872047373296,0.0445457768830631,True,0.055261872047373296
KMI,CJ=F,0,0.05520930414094277,0.04474917318011498,True,0.05520930414094277
BG,ZO=F,0,0.05509315530033905,0.045201353093612145,True,0.05509315530033905
TSN,KE=F,0,0.05500612187380942,0.04554269996826234,True,0.05500612187380942
WPM,ZO=F,0,0.0549626948674168,0.04571383139970385,True,0.0549626948674168
UNH,HE=F,0,0.054773453931822716,0.04646589743001188,True,0.054773453931822716
CRM,ALI=F,0,0.054728903000566,0.046644453120858284,True,0.054728903000566
VALE,HE=F,0,0.054657253070868765,0.04693282854291598,True,0.054657253070868765
TSN,ZW=F,0,0.0546225203399996,0.04707315854532928,True,0.0546225203399996
MMM,CJ=F,0,0.05454925926140074,0.047370310244001484,True,0.05454925926140074
NEM,HE=F,0,0.05454498297117005,0.04738770371346472,True,0.05454498297117005
ZTS,KC=F,0,0.05448138795098066,0.047647005095795954,True,0.05448138795098066
F,KC=F,0,0.05431783684175051,0.048319342838343965,True,0.05431783684175051
UNH,SB=F,0,0.054306306558571216,0.048367041244933455,True,0.054306306558571216
MRK,HG=F,0,0.05425133625122151,0.048594985522832826,True,0.05425133625122151
MSFT,CC=F,0,0.05418588075641424,0.048867583088960394,True,0.05418588075641424
WPM,HE=F,0,0.05414840221666539,0.04902424359907426,True,0.05414840221666539
MPC,GC=F,0,0.054142632162409825,0.04904839981944127,True,0.054142632162409825
MSFT,ZC=F,0,0.05410676861717517,0.04919876571170678,True,0.05410676861717517
REGN,HG=F,0,0.0540043164930952,0.04963044896873803,True,0.0540043164930952
IBM,ZW=F,0,0.054003360494463346,0.04963449197583765,True,0.054003360494463346
WPM,OJ=F,0,0.05398379729454644,0.0497172871820668,True,0.05398379729454644
UNH,YO=F,0,0.05396269409958638,0.04980672962427555,True,0.05396269409958638
COST,CC=F,0,0.053891848888618386,0.05010798175421299,False,0.053891848888618386
DUK,ZL=F,0,0.05386594783939932,0.05021849988990798,False,0.05386594783939932
BAC,KE=F,0,0.05381333782440512,0.05044361180987037,False,0.05381333782440512
DAR,KC=F,0,0.053800910520622025,0.05049690989016718,False,0.053800910520622025
BBY,KE=F,0,0.05377173673360772,0.050622215317685626,False,0.05377173673360772
INGR,SB=F,0,0.05377122803285771,0.050624402563423876,False,0.05377122803285771
HON,HE=F,0,0.053754656176383225,0.050695699354504416,False,0.053754656176383225
FAST,ALI=F,0,0.053749012161544645,0.05072000066759624,False,0.053749012161544645
PBR,CJ=F,0,0.05367899303190908,0.05102229191570372,False,0.05367899303190908
GLNCY,ZM=F,0,0.05367246721430877,0.05105054222284704,False,0.05367246721430877
ULTA,GC=F,0,0.05366512078290245,0.05108236062591433,False,0.05366512078290245
PAAS,ZO=F,0,0.05363705206944355,0.05120408287412161,False,0.05363705206944355
COST,CJ=F,0,0.05363491491150636,0.05121336076170846,False,0.05363491491150636
GOOGL,CC=F,0,0.0536025894974895,0.051353864253092386,False,0.0536025894974895
GM,HE=F,0,0.053583135681576174,0.05143857616099668,False,0.053583135681576174
NUE,KE=F,0,0.053571346841882646,0.05148996765294489,False,0.053571346841882646
WM,OJ=F,0,0.053568374935313405,0.051502929959295736,False,0.053568374935313405
DLTR,ZS=F,0,0.05351118744490494,0.051752891460394225,False,0.05351118744490494
RIO,ZM=F,0,0.0535077849817912,0.05176779522983783,False,0.0535077849817912
BG,CC=F,0,0.05346052647324727,0.05197517230391558,False,0.05346052647324727
INGR,YO=F,0,0.05326976128667403,0.052819346238045496,False,0.05326976128667403
HON,OJ=F,0,0.05322803019182051,0.053005532438841645,False,0.05322803019182051
TMUS,KC=F,0,0.05311948629387524,0.0534923753258292,False,0.05311948629387524
GOOGL,ALI=F,0,0.05310902388310211,0.05353949796558507,False,0.05310902388310211
ABT,ALI=F,0,0.05310808486718128,0.053543728980827876,False,0.05310808486718128
CAT,OJ=F,0,0.05308878828455937,0.05363073723943072,False,0.05308878828455937
PYPL,HE=F,0,0.05304618772646179,0.05382324067109365,False,0.05304618772646179
C,ZW=F,0,0.052984736352241504,0.054101941928011384,False,0.052984736352241504
NEE,CL=F,0,0.05292246434450343,0.054385591182895994,False,0.05292246434450343
VRTX,SB=F,0,0.0529129269479613,0.05442914330860955,False,0.0529129269479613
CMG,ZC=F,0,0.05287752950724959,0.05459103842959032,False,0.05287752950724959
ULTA,ZO=F,0,0.05283916189026871,0.05476697097213902,False,0.05283916189026871
MRK,OJ=F,0,0.05282614226254053,0.0548267789629538,False,0.05282614226254053
SYK,ZS=F,0,0.05278131986985543,0.055033094825295656,False,0.05278131986985543
NEM,ZC=F,0,0.05276774319118633,0.055095715216902805,False,0.05276774319118633
HUM,LE=F,0,0.052730931983934554,0.055265799968548676,False,0.052730931983934554
PBR,HE=F,0,0.05267033832628863,0.05554672249290097,False,0.05267033832628863
INTC,LE=F,0,0.05265558420297145,0.05561530475454922,False,0.05265558420297145
AME,ZC=F,0,0.05263984817015602,0.05568852891672631,False,0.05263984817015602
FNV,ZO=F,0,0.05263268859551822,0.055721870964858734,False,0.05263268859551822
AMGN,SI=F,0,0.052593639923709884,0.055904012627815455,False,0.052593639923709884
ABT,ZL=F,0,0.05256099839371951,0.0560566481573154,False,0.05256099839371951
NOC,LE=F,0,0.05243389488118774,0.05665430547509672,False,0.05243389488118774
VRTX,YO=F,0,0.052423113616500934,0.05670524318630654,False,0.052423113616500934
TECK,ZO=F,0,0.05228117100384366,0.05737942965026672,False,0.05228117100384366
ADM,CJ=F,0,0.05207999453467857,0.058346353600143716,False,0.05207999453467857
REGN,GC=F,0,0.05207833957228965,0.058354363648891225,False,0.05207833957228965
INTC,HE=F,0,0.05195592344705903,0.05894939491546758,False,0.05195592344705903
BP,ZW=F,0,0.05194395725739831,0.059007828273292214,False,0.05194395725739831
WMB,CJ=F,0,0.051941318176193185,0.059020721910060206,False,0.051941318176193185
